E, [2020-06-01T06:31:19.587439 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/kitchen-ec2-3.3.0/lib/kitchen/driver/ec2.rb:356:in `actual_platform'
E, [2020-06-01T06:31:19.587450 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/kitchen-ec2-3.3.0/lib/kitchen/driver/ec2.rb:386:in `update_username'
E, [2020-06-01T06:31:19.587461 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/kitchen-ec2-3.3.0/lib/kitchen/driver/ec2.rb:200:in `create'
E, [2020-06-01T06:31:19.587477 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:485:in `public_send'
E, [2020-06-01T06:31:19.587490 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:485:in `block in perform_action'
E, [2020-06-01T06:31:19.587502 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:552:in `synchronize_or_call'
E, [2020-06-01T06:31:19.587514 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:514:in `block in action'
E, [2020-06-01T06:31:19.587525 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-06-01T06:31:19.587540 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:513:in `action'
E, [2020-06-01T06:31:19.587554 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:485:in `perform_action'
E, [2020-06-01T06:31:19.587566 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:394:in `create_action'
E, [2020-06-01T06:31:19.587578 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:382:in `block (2 levels) in transition_to'
E, [2020-06-01T06:31:19.587590 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/lifecycle_hooks.rb:45:in `run_with_hooks'
E, [2020-06-01T06:31:19.587601 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:381:in `block in transition_to'
E, [2020-06-01T06:31:19.587619 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:380:in `each'
E, [2020-06-01T06:31:19.587632 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:380:in `transition_to'
E, [2020-06-01T06:31:19.587644 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/instance.rb:129:in `create'
E, [2020-06-01T06:31:19.587659 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:198:in `public_send'
E, [2020-06-01T06:31:19.587672 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:198:in `run_action_in_thread'
E, [2020-06-01T06:31:19.588918 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2020-06-01T06:31:19.588942 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/logging-2.2.2/lib/logging/diagnostic_context.rb:474:in `block in create_with_logging_context'
E, [2020-06-01T06:31:19.588956 #3630] ERROR -- default-centos-7: ----End Backtrace-----
